Aaron	亚伦	
Abby	艾比
Abel	亚伯
Abigail	艾比蓋希伯來父親很高興；自得的父親。	
Abigail	阿比盖尔	
Abraham	亚伯拉罕	
Ada	艾達英國增光；快樂的；美麗。	
Adam	亚当	
Ada	艾达
Adela	愛得拉德國尊貴的；優雅的。	
Adelaide	愛得萊德德國高貴的；高貴階級的。	
Adelaide	阿德莱德	
Adeline	艾德琳	
Adrian	艾德里安	
Afra	阿芙拉希伯來塵土	
Agatha	愛葛莎希臘善良而美好的	
Agnes	愛葛妮絲希臘，拉丁純潔，高雅，貞節	
Aidan	艾登/艾丹	
Ailsa	艾丽莎	
Aimee	艾米	
Alan	艾伦
Alberta	愛爾柏塔英國高貴顯赫的。	
Albert	艾伯特	
Alexander	亚历山大	
Alexandra	亚历桑德拉	
Alexia	亞莉克希亞希臘幫助	
Alexis	亚历克西斯	
Alex	亚历克斯
Alfred	阿尔弗雷德	
Alice	愛麗絲希臘尊貴的，真#092;的	
Alice	爱丽丝	
Alicia	艾丽西娅	
Alina	艾琳娜	
Allison	艾莉森	
Alma	愛瑪拉丁，英國真情的、和善的、舞女。	
Althea	奧爾瑟雅希臘好預，醫治者。	
Alva	阿爾娃拉丁白皙的。	
Alva	阿尔瓦	
Alyssa	艾莉莎/爱丽丝娅	
Amanda	阿曼達拉丁值得愛的。	
Amanda	阿曼达	
Amber	安伯	
Amelia	阿蜜莉雅拉丁勤勉的，勞動的。	
Amy	艾咪法國最心愛的人，可愛的。	
Amy	艾美	
Anastasia	阿娜絲塔西夏希臘再度振作起來之人，復活。	
Anastasia	阿纳斯塔西娅
Andrea	安德莉亞希臘有氣概，美麗而優雅	
Andrea	安德莉亚	
Andrew	安德鲁	
Andy	安迪
Angela	安琪拉法國天使；報信者，安琪兒。	
Angela	安吉拉	
Angelia	安吉莉亚	
Angelina	安吉莉娜	
Angel	安琪	
Angus	安格斯	
Anita	安尼塔
Ann	安妮希伯來優雅的，仁慈的上帝。	
Anna	安娜希伯來優雅	
Annabelle	安娜貝兒希伯來，拉丁美麗的女子；可愛的；和藹可親的。	
Anna	安娜	
Anne	安妮
Annie	安妮
Ann	安
Anthony	安东尼	
Antonia	安東妮兒拉丁，希臘無辭以讚，受尊崇的人。	
Apollo	阿波罗	
